,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.10204081632653061,0.09693877551020408,0.07397959183673469,0.725,7.478947368421053,0.06408788004997917,3.283858998144712,0.9647335423197493
1,frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE PINK'}),0.09693877551020408,0.10204081632653061,0.07397959183673469,0.7631578947368421,7.478947368421053,0.06408788004997917,3.7913832199546493,0.959283070329242
2,frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED'}),0.09693877551020408,0.09438775510204081,0.07908163265306123,0.8157894736842106,8.642958748221908,0.06993179925031237,4.916180758017496,0.979223619464188
3,frozenset({'ALARM CLOCK BAKELIKE RED'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.09438775510204081,0.09693877551020408,0.07908163265306123,0.8378378378378379,8.642958748221908,0.06993179925031237,5.568877551020412,0.9764652430713312
4,frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'ALARM CLOCK BAKELIKE RED'}),0.10204081632653061,0.09438775510204081,0.07397959183673469,0.725,7.681081081081081,0.0643481882548938,3.293135435992579,0.968652037617555
5,frozenset({'ALARM CLOCK BAKELIKE RED'}),frozenset({'ALARM CLOCK BAKELIKE PINK'}),0.09438775510204081,0.10204081632653061,0.07397959183673469,0.7837837837837838,7.681081081081081,0.0643481882548938,4.153061224489796,0.9604662457503643
6,frozenset({'DOLLY GIRL LUNCH BOX'}),frozenset({'SPACEBOY LUNCH BOX'}),0.09948979591836735,0.125,0.07142857142857142,0.717948717948718,5.743589743589744,0.0589923469387755,3.1022727272727275,0.9171388101983002
7,frozenset({'SPACEBOY LUNCH BOX'}),frozenset({'DOLLY GIRL LUNCH BOX'}),0.125,0.09948979591836735,0.07142857142857142,0.5714285714285714,5.743589743589744,0.0589923469387755,2.101190476190476,0.943877551020408
8,frozenset({'PLASTERS IN TIN SPACEBOY'}),frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),0.1377551020408163,0.1683673469387755,0.08928571428571429,0.6481481481481483,3.849607182940517,0.06609225322782175,2.36358754027927,0.8584953508030432
9,frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),frozenset({'PLASTERS IN TIN SPACEBOY'}),0.1683673469387755,0.1377551020408163,0.08928571428571429,0.5303030303030304,3.849607182940517,0.06609225322782175,1.8357472021066494,0.890096406660824
10,frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),0.17091836734693877,0.1683673469387755,0.10204081632653061,0.5970149253731344,3.5459068294889193,0.0732637442732195,2.0636810279667426,0.8660000000000001
11,frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),0.1683673469387755,0.17091836734693877,0.10204081632653061,0.6060606060606061,3.5459068294889193,0.0732637442732195,2.104591836734694,0.8633435582822085
12,frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),frozenset({'PLASTERS IN TIN SPACEBOY'}),0.17091836734693877,0.1377551020408163,0.10459183673469388,0.6119402985074628,4.442233278054175,0.08104695960016661,2.2219387755102047,0.9346341463414636
13,frozenset({'PLASTERS IN TIN SPACEBOY'}),frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),0.1377551020408163,0.17091836734693877,0.10459183673469388,0.7592592592592594,4.442233278054174,0.08104695960016661,3.4438775510204103,0.8986866791744842
14,frozenset({'SET/20 RED RETROSPOT PAPER NAPKINS'}),frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),0.1326530612244898,0.1377551020408163,0.10204081632653061,0.7692307692307692,5.584045584045584,0.08376718034152436,3.7363945578231283,0.9464705882352941
15,frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),frozenset({'SET/20 RED RETROSPOT PAPER NAPKINS'}),0.1377551020408163,0.1326530612244898,0.10204081632653061,0.7407407407407408,5.584045584045584,0.08376718034152436,3.3454810495626828,0.9520710059171598
16,frozenset({'SET/20 RED RETROSPOT PAPER NAPKINS'}),frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),0.1326530612244898,0.12755102040816327,0.10204081632653061,0.7692307692307692,6.03076923076923,0.08512078300708038,3.780612244897958,0.9617647058823529
17,frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),frozenset({'SET/20 RED RETROSPOT PAPER NAPKINS'}),0.12755102040816327,0.1326530612244898,0.10204081632653061,0.8,6.030769230769231,0.08512078300708038,4.336734693877552,0.956140350877193
18,frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),0.1377551020408163,0.12755102040816327,0.12244897959183673,0.888888888888889,6.968888888888889,0.10487817576009996,7.852040816326535,0.9933431952662722
19,frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),0.12755102040816327,0.1377551020408163,0.12244897959183673,0.96,6.968888888888889,0.10487817576009996,21.556122448979572,0.9817251461988304
20,"frozenset({'SET/6 RED SPOTTY PAPER CUPS', 'SET/20 RED RETROSPOT PAPER NAPKINS'})",frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),0.10204081632653061,0.12755102040816327,0.09948979591836735,0.975,7.643999999999999,0.0864743856726364,34.89795918367344,0.967948717948718
21,"frozenset({'SET/20 RED RETROSPOT PAPER NAPKINS', 'SET/6 RED SPOTTY PAPER PLATES'})",frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),0.10204081632653061,0.1377551020408163,0.09948979591836735,0.975,7.077777777777778,0.08543315285297792,34.489795918367314,0.9562937062937062
22,"frozenset({'SET/6 RED SPOTTY PAPER CUPS', 'SET/6 RED SPOTTY PAPER PLATES'})",frozenset({'SET/20 RED RETROSPOT PAPER NAPKINS'}),0.12244897959183673,0.1326530612244898,0.09948979591836735,0.8125,6.125,0.08324656393169513,4.625850340136054,0.9534883720930234
23,frozenset({'SET/20 RED RETROSPOT PAPER NAPKINS'}),"frozenset({'SET/6 RED SPOTTY PAPER CUPS', 'SET/6 RED SPOTTY PAPER PLATES'})",0.1326530612244898,0.12244897959183673,0.09948979591836735,0.75,6.125,0.08324656393169513,3.510204081632653,0.9647058823529413
24,frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),"frozenset({'SET/20 RED RETROSPOT PAPER NAPKINS', 'SET/6 RED SPOTTY PAPER PLATES'})",0.1377551020408163,0.10204081632653061,0.09948979591836735,0.7222222222222223,7.077777777777778,0.08543315285297792,3.232653061224491,0.9959035047792445
25,frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),"frozenset({'SET/6 RED SPOTTY PAPER CUPS', 'SET/20 RED RETROSPOT PAPER NAPKINS'})",0.12755102040816327,0.10204081632653061,0.09948979591836735,0.78,7.644,0.0864743856726364,4.081632653061225,0.9962513120407858
